,text,Label,preprocess_data
25,vtv mất nhiều tiền mua bản quyền vậy có thể chi ít tiền để thuê bình luận viên bên k+ về được không,0.0,vtv mất nhiều tiền mua bản_quyền vậy có_thể chi ít tiền để thuê bình_luận_viên bên k về được không
26,bỉ thua không hối tiếc,0.0,bỉ thua không hối_tiếc
27,"dù anh không còn ở thời kì đỉh cao, phog độ cũng không được như xưa, nhưng tinh thần của anh thật đág khen, mỗi 1 trận đấu",1.0,dù anh không còn ở thời_kì đỉh cao phog độ cũng không được như xưa nhưng tinh_thần của anh thật đág khen mỗi 1 trận đấu
28,lukaku nổi khiếp sợ của đội tuyển bỉ,1.0,lukaku nổi khiếp_sợ của đội_tuyển bỉ
29,sút vào mà ông bình luận viên cứ hô: “ cơ hôi.. ôi…. đến quỷ,0.0,sút vào mà ông bình_luận_viên cứ hô cơ hôi ôi … đến quỷ
30,cái vớ sané cầm sách vở sang năn nỉ thằng em musiala dạy sút cho đi nhé cái dứt điểm ngon nữa thì 10 điểm chết mẹ nó rồi hu hu,2.0,cái vớ sané cầm sách_vở sang năn_nỉ thằng em musiala dạy sút cho đi nhé cái dứt_điểm ngon nữa thì 10 điểm chết mẹ nó rồi hu_hu
31,phản lưới nhà rồiiiii => nghe thấy luôn cái đớn của chính bình luận viên anh quân trong câu gào này ha ha,0.0,phản lưới nhà rồiiiii nghe thấy luôn cái đớn của chính bình_luận_viên anh_quân trong câu gào này ha_ha
32,"cảm giác griezmann thực sự nên cầm băng đội trưởng tuyển pháp, rõ ràng mbappe còn khá trẻ chưa đủ chững chạc để thủ lĩnh tuyển, phát ngôn bồng bột, đi bóng cá nhân, đồng đội không chuyền dỗi (psg) và còn rất rất nhiều thứ",2.0,cảm_giác griezmann thực_sự nên cầm băng đội_trưởng tuyển pháp rõ_ràng mbappe còn khá trẻ chưa đủ chững_chạc để thủ_lĩnh tuyển phát_ngôn bồng_bột đi bóng cá_nhân đồng_đội không chuyền dỗi psg và còn rất rất nhiều thứ
33,"hôm qua fanpage mu đăng eriksen lập siêu phẩm ở phút 18, thế đéo nào là 1 pha đệm bóng cận thành? siêu phẩm dữ chưa!",0.0,hôm_qua fanpage mu đăng eriksen lập siêu phẩm ở phút 18 thế đéo nào là 1 pha đệm_bóng cận_thành siêu phẩm dữ chưa
34,giá như đó là mbappe thay cho griezman thì pháp đã thắng,0.0,giá_như đó là mbappe thay cho griezman thì pháp đã thắng
35,"mấy đội nhỏ có thời gian tập trung, tích cực chơi thể lực không còn co cụm như xưa, nhưng sẽ giải mã từ từ như việt nam khi chơi ở cúp châu á.",1.0,mấy đội nhỏ có thời_gian tập_trung tích_cực chơi thể_lực không còn co_cụm như xưa nhưng sẽ giải_mã từ_từ như việt_nam khi chơi ở cúp châu_á
36,"đội anh này không chỉ bảo thủ ở huấn luyện viên mà còn ở cả cầu thủ. việc gì cứ phải đâm đầu auto cho bóng ra 2 biên hoài vậy, bế tắc thì phối hợp ban bật trung lộ. đang bật trung lộ được 2-3 nhịp là lại ra biên như theo quen. tối không thể tả đc!",2.0,đội anh này không_chỉ bảo_thủ ở huấn_luyện_viên mà_còn ở cả cầu_thủ việc gì cứ phải đâm_đầu auto cho bóng ra 2 biên hoài vậy bế_tắc thì phối_hợp ban bật trung_lộ đang bật trung_lộ được 23 nhịp là lại ra biên như theo quen tối không_thể tả đc
37,"ý đá bế tắc quá trước tbn thi đấu quá hay, ý năm nay buồn lắm",2.0,ý đá bế_tắc quá trước tbn thi_đấu quá hay ý năm nay buồn lắm
38,hay,1.0,hay
39,"fan cr7: nói thế mà nghe được à, dù sự thật có đúng là như vậy đi nữa thì cũng đừng có nói thẳng vậy chứ, mẹ",0.0,fan cr7 nói thế_mà nghe được à dù sự_thật có đúng là như_vậy đi_nữa thì cũng đừng có nói_thẳng vậy chứ mẹ
40,thua phút cuối mới đau,0.0,thua phút cuối mới đau
41,bồ đào nhé dùng đội hình phụ nhiều,0.0,bồ_đào nhé dùng đội_hình phụ nhiều
42,khi ông chủ của những nhà cái là các sếp của fifa thì các con bạc năm nay ăn đủ..,2.0,khi ông chủ của những nhà_cái là các sếp của fifa thì các con_bạc năm nay ăn_đủ
43,bình luận như căng triệu cọt. hết hứng xem luôn,2.0,bình_luận như căng triệu cọt hết hứng xem luôn
44,lại mua tài nữa,2.0,lại mua tài nữa
45,"với tôi đtqg ukraina có thua trắng thì cũng không sao vì chiến tranh đã làm bóng đá họ bị ảnh hưởng, các cầu thủ và cổ động viên của họ đã rất cố gắng để đến nước đức",0.0,với tôi đtqg ukraina có thua trắng thì cũng không sao vì chiến_tranh đã làm bóng_đá họ bị ảnh_hưởng các cầu_thủ và cổ_động_viên của họ đã rất cố_gắng để đến nước đức
46,ronaldo: 21 bàn/1 kiến tạo và 11 lần chiến thắng,1.0,ronaldo 21 bàn1 kiến_tạo và 11 lần chiến_thắng
47,thủ thành ukn tên chu bin ah mất vệ sinh thế: )),2.0,thủ_thành ukn tên chu bin ah mất vệ_sinh thế
48,ronaldo dạo này tăng cân thì phãi,0.0,ronaldo dạo này tăng cân thì phãi
49,bình luận viên kêu gào như cha chết!,2.0,bình_luận_viên kêu_gào như cha chết
50,áo lấy luôn cái quần tao rồi,0.0,áo lấy luôn cái quần tao rồi
51,euro năm nay thể hiện đúng tình hình kinh tế của châu âu. không rực lửa và cống hiến như những năm trước nữa.,2.0,euro năm nay thể_hiện đúng tình_hình kinh_tế của châu_âu không rực lửa và cống_hiến như những năm trước nữa
52,bình luận dở ẹc,2.0,bình_luận dở_ẹc
53,scot vô vòng chồng là gà con,2.0,scot vô vòng chồng là gà con
54,2 con lợn bán độ dàn xếp tỷ số trắng trợn.,2.0,2 con lợn bán_độ dàn_xếp tỷ_số trắng_trợn
55,"nếu không có công nghệ việt vị bán tự động thì trận đấu đã rất khác cho đan mạch có thể là một trận hoà đi đến penalty, biết đâu bất ngờ lại xảy ra",0.0,nếu không có công_nghệ việt_vị bán_tự_động thì trận đấu đã rất khác cho đan_mạch có_thể là một trận hoà đi đến penalty biết_đâu bất_ngờ lại xảy ra
56,mong croatia sẽ có vé vô,0.0,mong croatia sẽ có vé vô
57,slovenia:,1.0,slovenia
58,chủ nhà vào tới tứ kết là loại ấy mà,2.0,chủ nhà vào tới tứ_kết là loại ấy mà
59,chút nữa thì lỏ,0.0,chút nữa thì lỏ
60,"bất kì giải đấu nào, vòng bảng đừng tin mấy anh đội bóng lớn",0.0,bất_kì giải đấu nào vòng bảng đừng tin mấy anh đội bóng lớn
61,"bruno đá ngu vãi, nhưng rô đã kiến tạo giúp che đi sự ngờ u đó",2.0,bruno đá ngu vãi nhưng rô đã kiến_tạo giúp che đi sự ngờ u đó
62,lại thêm 1 cầu thủ số nhọ mang tên yamal.,2.0,lại thêm 1 cầu_thủ số nhọ mang tên yamal
63,"mấy đội quay phim với chụp hình bên nước ngoài thì họ hay canh để quay hay chụp nhữg pha ăn mừg cảm xúc hay nhữg biểu cảm tiếc nuối, hò reo chia vui của các cổ động viên, ví dụ như cảnh quay 2 cha con ôm hôn nhau ăn mừg bàn thắg của đội nhà, còn mấy ông nội quay phim của việt nam thì cứ canh me soi với chụp gái đẹp vú bự này nọ không à hehe, bởi vậy nên giờ mấy em hot girl hay mấy em vú bự muốn thành thần tượng nổi tiếg cứ hay canh mấy trận đấu quan trọng hay mấy trận mà có nhiều người xem là mấy em nó lên đồ hở vú ôm mông rồi vẽ cờ đỏ sao vàg lên mặt lên vú đủ kiểu cứ như là fan real vậy à trong khi có biết quả banh nó tròn hay đéo như thế nào đâu chủ yếu là lên sân la hét nhảy múa màu mè mog sao lọt vô ốg kính máy quay rồi ngày mai được lên bìa báo với danh xưng hot girl thể thao, hot girl euro, hay hot girl đội này đội kia để bắt đầu sự nghiệp thần tượng trực tuyến thôi là xog, kể từ ngày hôm đó éo bao giờ thấy em nó đi ra sân xem đá banh nữa mà chỉ lo đá sân nhỏ cỏ đen với mấy đại gia thôi ak, có được tí tên tuổi nên được lên giá tí phải trah thủ làm thêm tăng ca kiếm tiền nữa chứ thời gian đâu mà banh với bóng nữa",0.0,mấy đội quay_phim với chụp hình bên nước_ngoài thì họ hay canh để quay hay chụp nhữg pha ăn mừg cảm_xúc hay nhữg biểu_cảm tiếc_nuối hò_reo chia vui của các cổ_động_viên ví_dụ như cảnh quay 2 cha_con ôm hôn nhau ăn mừg bàn thắg của đội nhà còn mấy ông nội quay_phim của việt_nam thì cứ canh me soi với chụp gái đẹp vú bự này_nọ không à hehe bởi vậy nên giờ mấy em hot girl hay mấy em vú bự muốn thành thần_tượng nổi tiếg cứ hay canh mấy trận đấu quan_trọng hay mấy trận mà có nhiều người xem là mấy em nó lên đồ hở vú ôm mông rồi vẽ cờ_đỏ sao vàg lên mặt lên vú đủ kiểu cứ như là fan real vậy à trong khi có biết quả banh nó tròn hay đéo như thế nào đâu chủ_yếu là lên sân la_hét nhảy_múa màu_mè mog sao lọt vô ốg kính máy quay rồi ngày_mai được lên bìa báo với danh_xưng hot girl thể_thao hot girl euro hay hot girl đội này đội kia để bắt_đầu sự_nghiệp thần_tượng trực_tuyến thôi là xog kể từ ngày hôm đó éo bao_giờ thấy em nó đi ra sân xem đá banh nữa mà chỉ lo đá sân nhỏ cỏ đen với mấy đại_gia thôi ak có được tí tên_tuổi nên được lên giá tí phải trah thủ làm thêm tăng ca kiếm tiền nữa chứ thời_gian đâu mà banh với bóng nữa
64,hôm qua bắt anh vô số anh em phải trốn thậm trí nên cầu không chừng,0.0,hôm_qua bắt anh vô_số anh_em phải trốn thậm trí nên cầu không_chừng
65,"hơn 2h sáng không biết đang xem cái gì. nghĩ một lát à thì ra đây gọi là bóng đá hài, hài đến từng người trên sân, hài trong mắt người xem, hài vãi lồn nhỉ: )))",0.0,hơn 2h sáng không biết đang xem cái gì nghĩ một lát à thì ra đây gọi là bóng_đá hài hài đến từng người trên sân hài trong mắt người xem hài vãi lồn nhỉ
66,bóng đá năm nay sắp đăt tỷ sô hêt rồi,2.0,bóng_đá năm nay sắp đăt tỷ sô hêt rồi
67,chưa xem tao đã thấy ý quá bịp rồi tưởng kèo h1 ý nổ h2 croat nổ nói bịp h1 còn trận tbn thì quá bịp hơn,2.0,chưa xem tao đã thấy ý quá bịp rồi tưởng kèo h1 ý nổ h2 croat nổ nói bịp h1 còn trận tbn thì quá bịp hơn
68,ronaldo đang sỉ nhục thằng runom,2.0,ronaldo đang sỉ_nhục thằng runom
69,"mé, xem highlight mà còn buồn ngủ, nghĩ tới mấy ông thức xem mà tội nghiệp",2.0,mé xem highlight mà_còn buồn_ngủ nghĩ tới mấy ông thức xem mà tội_nghiệp
70,thấy đội tuyển anh và đội tuyển bỉ thua là tôi rất vui,0.0,thấy đội_tuyển anh và đội_tuyển bỉ thua là tôi rất vui
71,kể ra mấy pha mà không có thủ môn và hậu vệ đội bạn cản. là thằng lukangu nó cũng chuyền bóng được vào cầu môn đội bạn đấy chứ nhỉ!,0.0,kể_ra mấy pha mà không có thủ_môn và hậu_vệ đội bạn cản là thằng lukangu nó cũng chuyền bóng được vào cầu_môn đội bạn đấy chứ nhỉ
72,tao chỉ cân vào vòng tư kết đi xem các bé còn to mồm được nữa không hay lại tiếp tục diệt vong như wc22,2.0,tao chỉ cân vào vòng tư kết đi xem các bé còn to_mồm được nữa không hay lại tiếp_tục diệt_vong như wc22
73,tuyển anh dương đông kích tây tung quả mù thôi đợi mà xem,0.0,tuyển anh dương_đông_kích_tây tung quả mù thôi đợi mà xem
74,"với cổ động viên trung lập, thì đây là bảng đấu nhàm chán nhất! quá nhiều trận hoà, với lối chơi nhạt như nước ốc!!!",2.0,với cổ_động_viên trung_lập thì đây là bảng đấu nhàm_chán nhất quá nhiều trận hoà với lối chơi nhạt như nước ốc
75,lukaku tao nghĩ giảm cân chắc đá hay hơn,0.0,lukaku tao nghĩ giảm cân chắc đá hay hơn
76,có 8 nghiệp trên sân mọi chuyện điều dễ hẳn,1.0,có 8 nghiệp trên sân mọi chuyện điều dễ hẳn
77,thôi về cầm súng bảo vệ e. u thôi,0.0,thôi về cầm súng bảo_vệ e u thôi
78,1 trận đấu lớn mà nghe bình luận viên bình luận trận đấu thực sự phái nói là quá chán thà tắt tiếng đi còn hơn,2.0,1 trận đấu lớn mà nghe bình_luận_viên bình_luận trận đấu thực_sự phái nói là quá chán thà tắt tiếng đi còn hơn
79,còn cửa nam thì anh đừng mơ vô địch,2.0,còn cửa nam thì anh đừng mơ vô_địch
80,vẫn cay tụi nhon croatia từ trận ở wc...,0.0,vẫn cay tụi nhon croatia từ trận ở wc
81,có mùi bẻ kèo ha ha,0.0,có mùi bẻ kèo ha_ha
82,1 mùa giải mà khả năng croatia không qua được vòng bảng,0.0,1 mùa giải mà khả_năng croatia không qua được vòng bảng
83,nay 3 thằng dưới ăn rồi.,0.0,nay 3 thằng dưới ăn rồi
84,có lẽ thời gian đã đuổi kịp ronaldo không lâu nữa chúng ta sẽ không còn thấy anh xuất hiện rất trân trọng những khoảng thời gian cuối này,0.0,có_lẽ thời_gian đã đuổi kịp ronaldo không lâu nữa chúng_ta sẽ không còn thấy anh xuất_hiện rất trân_trọng những khoảng thời_gian cuối này
85,"ronaldo vẫn là người đội trưởng mẫu mực của tuyển bđn. dù có trượt pen, ronaldo vẫn cố gắng, chiến đấu không ngừng nghỉ. từ đó ta thấy khát khao bóng đá của ronaldo vẫn bao cao, cháy bỏng lắm. minh chứng là quả pen thứ 2 trên chấm luân lưu, ronaldo đã thực hiện thành công. mọi người yêu quý anh sẽ đồng hành mãi với anh trên con đường bóng đá này. xin chúc mừng ronaldo và các đồng đội tiến vào tứ kết",1.0,ronaldo vẫn là người đội_trưởng mẫu_mực của tuyển bđn dù có trượt pen ronaldo vẫn cố_gắng chiến_đấu không ngừng_nghỉ từ đó ta thấy khát_khao bóng_đá của ronaldo vẫn bao cao cháy_bỏng lắm minh_chứng là quả pen thứ 2 trên chấm luân_lưu ronaldo đã thực_hiện thành_công mọi người_yêu quý anh sẽ đồng_hành mãi với anh trên con đường bóng_đá này xin chúc_mừng ronaldo và các đồng_đội tiến vào tứ_kết
86,"mấy anh làm highlight thì làm luôn trọng tài kết thúc trận đấu, làm cắt ngang vậy xem nó hơi kì.",2.0,mấy anh làm highlight thì làm luôn trọng_tài kết_thúc trận đấu làm cắt ngang vậy xem nó hơi kì
87,anh này may vào bán kết,0.0,anh này may vào bán_kết
88,kante trông bé tí,0.0,kante trông bé tí
89,năm nay tây ban nhé vô địch không nói nhiều,1.0,năm nay tây ban nhé vô_địch không nói nhiều
90,trận này trọng tài bắt pháp à việt vị nhé,0.0,trận này trọng_tài bắt pháp à việt_vị nhé
91,một buổi tối tuyệt vời anh em nào đã về bờ,1.0,một buổi tối tuyệt_vời anh_em nào đã về bờ
92,"chỉ 4 từ thôi, dàn xếp tỉ số",2.0,chỉ 4 từ thôi dàn_xếp tỉ_số
93,bịp vãi cả lồn,2.0,bịp vãi cả lồn
94,phút thứ 15 bình luận viên như muốn nói đã cứu tất cả anh em kèo trên. haha.,0.0,phút thứ 15 bình_luận_viên như muốn nói đã cứu tất_cả anh_em kèo trên haha
95,tây và đức là 2 đội bóng rất mạnh. tiếc là vòng bán kết gặp nhau rồi,0.0,tây và đức là 2 đội bóng rất mạnh tiếc là vòng bán_kết gặp nhau rồi
96,"pha ronaldo chuyền cho bruno thì ronaldo đã biết là có thêm kỉ lục kiến tạo nhiều nhất lịch sử euro nên anh đã làm, chứ ghi bàn vẫn gọi là thừa",1.0,pha ronaldo chuyền cho bruno thì ronaldo đã biết là có thêm kỉ_lục kiến_tạo nhiều nhất lịch_sử euro nên anh đã làm chứ ghi_bàn vẫn gọi là thừa
97,"có lẽ mùa này tbn mạnh hơn ý quá nhiều, toàn trận chỉ thấy mỗi tbn áp đảo và tấn công mạnh mẽ",1.0,có_lẽ mùa này tbn mạnh hơn ý quá nhiều toàn trận chỉ thấy mỗi tbn áp_đảo và tấn_công mạnh_mẽ
98,scotland có sức mạnh ngang với thailand ở khu vực đông nam á,0.0,scotland có sức_mạnh ngang với thailand ở khu_vực đông nam á
99,anh cu châu bò thật tỳ đè thì nhất. và tấu hài cũng nhất sút tệ nhất và cũng đen nhất,0.0,anh cu châu bò thật tỳ đè thì nhất và tấu hài cũng nhất sút tệ nhất và cũng đen nhất
100,quả phản lưới của áo nhìn rất là bịp,2.0,quả phản lưới của áo nhìn rất là bịp
101,đội hình 3-5-2 luân chuyển bóng tốt nhưng thủ yếu qua hàng tiền về coi như toang,0.0,đội_hình 352 luân_chuyển bóng tốt nhưng thủ yếu qua hàng tiền về coi như toang
102,còn thằng pháp thì toàn gỗ quý,0.0,còn thằng pháp thì toàn gỗ quý
103,"bruno không tuyển bdn đang cân 1 ban thắng, ronaldo đang cô vu tinh thần cho thằng em",1.0,bruno không tuyển bdn đang cân 1 ban thắng ronaldo đang cô vu tinh_thần cho thằng em
104,"ronaldo chuyền quả kiểu vả thẳng mặt bruno, kiểu mày phải biết chuyền, đừng cá nhân quá",2.0,ronaldo chuyền quả kiểu vả thẳng mặt bruno kiểu mày phải_biết chuyền đừng cá_nhân quá
105,real nhập beling,0.0,real nhập beling
106,kante thì chạy chạy bán sống cho đồng đội ghi bàn nhưng không lại nhà cái mua kèo nên cũng không biết luôn,2.0,kante thì chạy chạy bán sống cho đồng_đội ghi_bàn nhưng không lại nhà_cái mua kèo nên cũng không biết luôn
107,bịp vãi. phạm lỗi trong tình huống cố tình ngăn cản bàn thắng mà thẻ vàng. gôn nhảy lên quá vạch không thèm check cho đá lại bóng đá ngày càng bịp. quả đó bắt vui vẻ nữa chứ,2.0,bịp vãi phạm lỗi trong tình_huống cố_tình ngăn_cản bàn thắng mà thẻ_vàng gôn nhảy lên quá vạch không thèm check cho đá lại bóng_đá ngày_càng bịp quả đó bắt vui_vẻ nữa chứ
108,bồ như việt nam một khi có bàn là đá rất hay và thoải mái,1.0,bồ như việt_nam một_khi có bàn_là đá rất hay và thoải_mái
109,"ông nào chuyền từ sân nhà hay thật đấy, thêu hoa dệt gấm khiến cho đan mạch về nước",1.0,ông nào chuyền từ sân_nhà hay thật đấy thêu hoa dệt gấm khiến cho đan_mạch về nước
110,th ông mô đá nét vãi cả lồn,1.0,th ông mô đá nét vãi cả lồn
111,costa bắt đỉnh thật,1.0,costa bắt đỉnh thật
112,"pha kiến tạo ghi bàn cuối thì ngưỡng mộ ronaldo thật sự quá hay, thông minh và đồng đội",1.0,pha kiến_tạo ghi_bàn cuối thì ngưỡng_mộ ronaldo thật_sự quá hay thông_minh và đồng_đội
113,bình luận viên như sit,2.0,bình_luận_viên như sit
114,mùa này xem cu với hojlun đá. tăng thêm được mấy tuổi thọ,0.0,mùa này xem cu với hojlun đá tăng thêm được mấy tuổi_thọ
115,ứng cử viên xố một cho chức vô địch đúng là tào lao,2.0,ứng_cử_viên xố một cho chức vô_địch đúng là tào_lao
116,"kante lại tiếp tục là xuất sắc nhất trận đấu trận này rồi, đỉnh thiệt: )))",1.0,kante lại tiếp_tục là xuất_sắc nhất trận đấu trận này rồi đỉnh thiệt
117,burno nó dở tệ lậu,2.0,burno nó dở tệ_lậu
118,ông bình luận trận đấu không có 1 cảm xúc gì cả,2.0,ông bình_luận trận đấu không có 1 cảm_xúc gì cả
119,"r7, pê pê nên ở nhà nhường chỗ cho người khác",2.0,r7 pê pê nên ở nhà nhường chỗ cho người khác
120,xin chúc mừng đội tuyển anh đã xuất sắc cầm hoà tuyển đan mạch.,1.0,xin chúc_mừng đội_tuyển anh đã xuất_sắc cầm hoà tuyển đan_mạch
121,"một đường chuyền lỗi lại thành bàn thắng với khả năng khai thác không gian quá tốt của weghost, di chuyển không bóng, đổi hướng bẻ thân người quá hay.",1.0,một đường chuyền lỗi lại thành bàn thắng với khả_năng khai_thác không_gian quá tốt của weghost di_chuyển không bóng đổi hướng bẻ thân người quá hay
122,đá kiểu này về nước sớm bỉ ơi,2.0,đá kiểu này về nước sớm bỉ ơi
123,nói thật sự tuyển anh truyền thông kinh khủng chứ đá vẫn kém lắm. so với những đội hàng đầu châu âu vẫn kém 1 bậc. tại vì giải ngoại hạng nhiều người biết đến chứ đá cứ có cái gì đó không được mượt như những đội khác. với lại trong lúc khó khăn không thấy ai gánh như những đội có khả năng vô địch.,2.0,nói thật_sự tuyển anh truyền_thông kinh_khủng chứ đá vẫn kém lắm so với những đội hàng_đầu châu_âu vẫn kém 1 bậc tại vì giải ngoại_hạng nhiều người biết đến chứ đá cứ có cái gì đó không được mượt như những đội khác với_lại trong lúc khó_khăn không thấy ai gánh như những đội có khả_năng vô_địch
124,thủ môn ý khét quá,1.0,thủ_môn ý khét quá
125,quá tuyệt vời chúc mừng ronaldo,1.0,quá tuyệt_vời chúc_mừng ronaldo
126,chưa bao giờ đánh giá anh là ứng viên số 1. gặp đội ngang cơ rối thôi,2.0,chưa bao_giờ đánh_giá anh là ứng_viên số 1 gặp đội ngang cơ rối thôi
127,đội anh toàn sao không mà đá thấy sao ak! từ vi trí thu môn tới hv tien ve tien đạo mà lối đá thấy không có gì đặc sắc,2.0,đội anh toàn sao không mà đá thấy sao ak từ vi trí thu môn tới hv tien ve tien đạo mà lối đá thấy không có gì đặc_sắc
128,đẳng cấp ronaldo,1.0,đẳng_cấp ronaldo
129,bình luận đầu tiên,0.0,bình_luận đầu_tiên
130,"scotland quá yếu, chắc ngang ngang mấy đội top 2 châu á",2.0,scotland quá yếu chắc ngang_ngang mấy đội top 2 châu_á
131,đá như cái quần đùi,2.0,đá như cái quần_đùi
132,ngày nào còn xem được anh ra sân thi đấu ngày đó chúng ta còn tận hưởng những giây phút tuyệt vời của bóng đá.,1.0,ngày nào còn xem được anh ra sân thi_đấu ngày đó chúng_ta còn tận_hưởng những giây_phút tuyệt_vời của bóng_đá
133,"2đội đá đôi công với nhau, ăn miếg trả miếg. coi mãn nhãn",1.0,2đội đá đôi công với nhau ăn miếg trả miếg coi mãn nhãn
134,xem đầu,0.0,xem đầu
135,ca trận bao nhiêu the vàng anh em,0.0,ca trận bao_nhiêu the vàng_anh em
136,đeo mặt ạ để làm gì vậy mọi người,0.0,đeo mặt ạ để làm gì vậy mọi người
137,thằng đầu cu số 22 đá tối như mực,2.0,thằng đầu cu số 22 đá tối như mực
138,ronaldo: nhiều bàn thắng nhất trong lịch sử.,1.0,ronaldo nhiều bàn thắng nhất trong lịch_sử
139,mấy ông bảo chán chắc xem bóng đá bằng mắt hết đá hay mà không cẩn thận thì chỉ có thua mà thua thì đéo ai quan tâm hay hay không chỉ có nhìn vào lỗi của họ rồi tiếc cho đội họ thì đá hay sao được trận đấu quyết định suất đi tiếp của cả 2 đội thì chỉ cần 1 bàn thua cũng làm cho cơ hội đi tiếp tối đi rồi chứ không phải cứ đá hay là hay mà phải xem cả chiến thuật nữa,0.0,mấy ông bảo chán chắc xem bóng_đá bằng mắt hết đá hay mà không cẩn_thận thì chỉ có thua mà thua thì đéo ai quan_tâm hay_hay không_chỉ có nhìn vào lỗi của họ rồi tiếc cho đội họ thì đá hay sao được trận đấu quyết_định suất đi tiếp của cả 2 đội thì chỉ cần 1 bàn thua cũng làm cho cơ_hội đi tiếp tối đi rồi chứ không phải cứ đá hay_là hay mà phải xem cả chiến_thuật nữa
140,ý quá hay,1.0,ý quá hay
141,đá với đấm gì như bán độ,2.0,đá với đấm gì như bán_độ
142,một trận đấu hay và ý nghĩa chúc mừng các bạn đá đẹp euro 2024,1.0,một trận đấu hay và ý_nghĩa chúc_mừng các bạn đá đẹp euro 2024
143,grizeman bỏ lỡ nhiều coe hoiij quá,2.0,grizeman bỏ lỡ nhiều coe hoiij quá
144,vinh quang cho uca,1.0,vinh_quang cho uca
145,"đang bl bình thường hét lên, vặn nhỏ volume không kịp",0.0,đang bl bình_thường hét lên vặn nhỏ volume không kịp
146,lukakíc,1.0,lukakíc
147,ronaldo luôn số 1,1.0,ronaldo luôn số 1
