text,Label
"Bruno đá ngu vãi, Nhưng Rô đã kiến tạo giúp che đi sự ngờ u đó",2.0
Lại thêm 1 cầu thủ số nhọ mang tên yamal.,2.0
"Mấy đội quay phim vs chụp hình bên nước ngoài thì họ hay canh để quay hay chụp nhữg pha ăn mừg cảm xúc hay nhữg biểu cảm tiếc nuối , hò reo chia vui của các cổ động viên , ví dụ như cảnh quay 2 cha con ôm hôn nhau ăn mừg bàn thắg của đội nhà , còn mấy ôg nội quay phim của VNam thì cứ canh me soi vs chụp gái đẹp zú bự này nọ kg ak hehe , bởi v nên h mấy e hot girl hay mấy e zú bự muốn thành idol nổi tiếg cứ hay canh mấy trận đấu quan trọng hay mấy trận mà có nhiều ng xem là mấy em nó lên đồ hở zú ôm mông r vẽ cờ đỏ sao vàg lên mặt lên zú đủ kiểu cứ như là fan real v ak trog khi có biết quả banh nó tròn hay méo ntn đâu  chủ yếu là lên sân la hét nhảy múa màu mè mog s lọt vô ốg kính máy quay r ngày mai dc lên bìa báo vs danh xưng hot girl thể thao , hot girl euro , hay hot girl đội này đội kia để bắt đầu sự nghiệp idol online thôi là xog , kể từ ngày hôm đó éo bao h thấy e nó đi ra sân xem đá banh nữa mà chỉ lo đá sân nhỏ cỏ đen vs mấy đại gia thôi ak , có dc tí tên tuổi nên dc lên giá tí phải trah thủ làm thêm tăng ca kiếm tiền nữa chứ thời gian đâu mà banh vs bóng nữa ",0.0
Hôm qua bắt anh vô số anh em phải trốn thậm trí nên cầu ko chừng,0.0
"Hơn 2h sáng ko biết đang xem cái gì. Nghĩ một lát à thì ra đây gọi là bóng đá hài, hài đến từng người trên sân, hài trong mắt người xem, hài vl nhỉ :)))",0.0
bóng đá năm nay sắp đăt tỷ sô hêt rồi,2.0
chưa xem t đã thấy ý quá bịp rồi tưởng kèo H1 ý nổ H2 Croat nổ nố bịp H1 còn trận TBN thì quá bịp hơn ,2.0
A bảy đang sỉ nhục thằng runom,2.0
"Mé, xem highlight mà còn buồn ngủ, nghĩ tới mấy ông thức xem mà tội nghiệp",2.0
Thấy đội tuyển Anh và đội tuyển Bỉ thua là tôi rất vui,0.0
Kể ra mấy pha mà ko có thủ môn và hậu vệ đội bạn cản .là thằng lukangu nó cũng chuyền bóng dc vào cầu môn đội bạn đấy chứ nhỉ !,0.0
Tao chỉ cân vào vòng tư kết đê xem các bé còn to mồm được nữa không hay lại tiếp tục diệt vong như wc22 ,2.0
Tuyển Anh dương đông kích tây tung quả mù thôi đợi mà xem ,0.0
"Với cđv trung lập, thì đây là bảng đấu nhàm chán nhất! Quá nhiều trận hoà, với lối chơi nhạt như nước ốc!!!",2.0
Lukaku t nghĩ giảm cân chắc đá hay hơn,0.0
Có 8 nghiệp trên sân mọi chuyện điều dễ hẳn ,1.0
Thôi về cầm súng bảo vệ E.U thôi,0.0
1 trận đấu lớn mà nghe bình luận viên bình luận trận đấu thực sự phái nói là quá chán thà tắt tiếng đi còn hơn ,2.0
Còn cửa nam thì anh đừng mơ vô địch,2.0
vẫn cay tụi nhon Croatia từ trận ở WC ...,0.0
Có mùi bẻ kèo kk,0.0
1 mùa giải mà khả năng croatia ko qua đc vòng bảng,0.0
Nay 3 thằng dưới ăn rồi. ,0.0
có lẽ thời gian đã đuổi kịp ronaldo không lâu nữa chúng ta sẽ không còn thấy anh xuất hiện rất trân trọng những khoảng thời gian cuối này ,0.0
"Anh bảy vẫn là người đội trưởng mẫu mực của tuyển BĐN. Dù có trượt pen, anh bảy vẫn cố gắng, chiến đấu không ngừng nghỉ. Từ đó ta thấy khát khao bóng đá của Ronaldo vẫn bao cao, cháy bỏng lắm. Minh chứng là quả pen thứ 2 trên chấm luân lưu, Ronaldo đã thực hiện thành công. Mọi người yêu quý anh sẽ đồng hành mãi với anh trên con đường bóng đá này. Xin chúc mừng anh 7 và các đồng đội tiến vào tứ kết",1.0
"Mấy anh làm highlight thì làm luôn trọng tài kết thúc trận đấu, làm cắt ngang vậy xem nó hơi kì.",2.0
Anh này may vào bán kết,0.0
Kante trông bé tí,0.0
Năm nay Tây Ban Nha vô địch ko nói nhiều,1.0
Trận này trọng tài bắt pháp à Việt vị nha  ,0.0
Một buổi tối tuyệt vời ae nào đã về bờ,1.0
"Chỉ 4 từ thôi, dàn xếp tỉ số",2.0
Bịp vcl ,2.0
Phút thứ 15 BLV như muốn nói đã cứu tất cả ae kèo trên. Haha.,0.0
Tây và đức là 2 đội bóng rất mạnh. Tiếc là vòng bán kết gặp nhau r,0.0
"Pha cr7 chuyền cho bruno thì cr7 đã biết là có thêm kỉ lục kiến tạo nhiều nhất lịch sử euro nên anh đã làm, chứ ghi bàn vẫn gọi là thừa",1.0
"Có lẽ mùa này TBN mạnh hơn Ý quá nhiều, toàn trận chỉ thấy mỗi TBN áp đảo và tấn công mạnh mẽ",1.0
Scotland có sức mạnh ngang với Thailand ở khu vực đông nam á ,0.0
Anh ku châu bò thật tỳ đè thì nhất. Và tấu hài cũng nhất  sút tệ nhất và cũng đen nhất,0.0
Quả phản lưới của áo nhìn rất là bịp,2.0
Đội hình 3-5-2 luân chuyển bóng tốt nhưng thủ yếu qua hàng tiền về coi như toang,0.0
Còn thk Pháp thì toàn gỗ quý,0.0
"bruno  o tuyển  BDN đang cân 1  ban thắng , anh  7   đang cô vu tinh thần cho thằng em",1.0
"A7 chuyền quả kiểu vả thẳng mặt Bruno, kiểu mày phải biết chuyền, đừng cá nhân quá ",2.0
Real nhập Beling,0.0
Kante thì chạy chạy bán sống cho đồng đội ghi bàn nhưng ko lại nhà cái mua kèo nên cũng ko biết luôn,2.0
Bịp vãi. Phạm lỗi trong tình huống cố tình ngăn cản bàn thắng mà thẻ vàng. gôn nhảy lên quá vạch k thèm check cho đá lại  bóng đá ngày càng bịp. Quả đó bắt vv nữa chứ ,2.0
Bồ như việt nam một khi có bàn là đá rất hay và thoải mái,1.0
"ông nào chuyền từ sân nhà hay thật đấy, thêu hoa dệt gấm khiến cho đan mạch về nước",1.0
Th ô mô đá nét vcl,1.0
costa bắt đỉnh thật,1.0
"Pha kiến tạo ghi bàn cuối thì ngưỡng mộ CR7 thật sự quá hay, thông minh và đồng đội ",1.0
BLV như sit,2.0
Mùa này xem Ku với hojlun đá .tăng thêm đc mấy tuổi thọ,0.0
Ứng cử viên xố một cho chức vô địch đúng là tào lao,2.0
"Kante lại tiếp tục là MVP trận này rồi, đỉnh thiệt :)))",1.0
Burno nó dở tệ lậu,2.0
Ông bình luận trận đấu k có 1 cảm xúc j cả,2.0
"R7, pê pê nên ở nhà nhường chỗ cho người khác",2.0
Xin chúc mừng đội tuyển Anh đã xuất sắc cầm hoà tuyển Đan Mạch.,1.0
"Một đường chuyền lỗi lại thành bàn thắng với khả năng khai thác không gian quá tốt của Weghost, di chuyển k bóng,  đổi hướng bẻ thân người quá hay.",1.0
Đá kiểu này về nước sớm bỉ ơi ,2.0
Nói thật sự tuyển anh truyền thông kinh khủng chứ đá vẫn kém lắm. So với những đội hàng đầu châu âu vẫn kém 1 bậc.tại vì giải ngoại hạng nhiều người biết đến chứ đá cứ có cái gì đó ko được mượt như những đội khác. Với lại trong lúc khó khăn ko thấy ai gánh như những đội có khả năng vô địch.,2.0
Thủ môn ý khét quá,1.0
quá tuyệt vời chúc mừng anh 7,1.0
Chưa bao giờ đánh giá Anh là ứng viên số 1.gặp đội ngang cơ rối thôi,2.0
Đội Anh toàn sao không mà đá thấy sao ak! Từ vi trí thu môn tới hv tien ve tien đạo mà lối đá thấy k có j đặc sắc,2.0
Đẳng cấp cr7,1.0
bình luận đầu tiên,0.0
"Scotland quá yếu, chắc ngang ngang mấy đội top 2 Châu Á",2.0
Đá như cái quần đùi ,2.0
Ngày nào còn xem được a ra sân thi đấu ngày đó chúng ta còn tận hưởng những giây phút tuyệt vời của bóng đá .,1.0
"2đội đá đôi côg với nhau,ăn miếg trả miếg.coi mãn nhãn",1.0
xem đầu,0.0
Ca trận bao nhiêu the vàng anh e,0.0
đeo mặt nạ để làm gì v mn,0.0
Thằng đầu cu số 22 đá tối như mực,2.0
🇵🇹Ronaldo: Nhiều bàn thắng nhất trong lịch sử.,1.0
Mấy ông bảo chán chắc xem bóng đá bằng mắt hết đá hay mà ko cẩn thận thì chỉ có thua mà thua thì đéo ai quan tâm hay hay ko chỉ có nhìn vào lỗi của họ rồi tiếc cho đội họ thì đá hay s đc trận đấu quyết định suất đi tiếp của cả 2 đội thì chỉ cần 1 bàn thua cũng làm cho cơ hội đi tiếp tối đi rồi chứ ko phải cứ đá hay là hay mà phải xem cả chiến thuật nữa,0.0
ý quá hay,1.0
đá với đấm gì như bán độ,2.0
Một trận đấu hay và ý nghĩa chúc mừng các bạn đá đẹp EURO 2024,1.0
Grizeman bỏ lỡ nhiều coe hoiij quá,2.0
VINH QUANG CHO UCA,1.0
"đang bl bình thường hét lên, vặn nhỏ volume ko kịp",0.0
Lukakíc,1.0
Anh 7 luôn số 1 ,1.0
"Chúc mừng đội tuyển TBN, trận đầu thật nhiều cảm xúc, xin cảm ơn các cổ động viên ",1.0
"1 điểm trước Pháp là cũng ổn với Hà Lan, thế mới thấy thiếu Mbape, Pháp thực sự gặp khó",0.0
kỳ này có chiếu TV ko mọi người,0.0
Cỗ xe tăng đức đã trở lại và lợi hại hơn từ sau trận thua nhật bản ở vòng bange wc 2022,1.0
Trận nào cx có siêu phẩm,1.0
Cảm ơn blv đã nói đúng tâm trạng của fan CR7 khi đó - tự hào vì a đã chuyền,1.0
Đến cuối cùng Thổ Nhĩ Kỳ là đội bóng mà tôi tin nhất,1.0
Bọn unti lại vào bảo là A7 sợ sút trượt nên truyền cho chắc đây mà ,0.0
5:10 Ronaldo đảo chân khét lẹt ,1.0
Thích mỗi Kante,1.0
"Mé đậm chất real của a8 mang về dt đức ,,,nhạc trưởng cầm bóng",1.0
Tôi cũng ko hiểu sao mà FiFa trao quả bóng vàng cho một tuyển thủ của một ông đá như cục vàng nổi,2.0
"mấy ông u cà này thích chiếu laze thế nhỉ . trận này bỉ đá chả có tí sức sống ,dc mấy pha  đá còn tạmmcòn lại đá hời hợt vãi , khúc cuối mấy a u cà k đâm đc bàn chứ ko bỉ đái",0.0
Bình luận viên chán quá. Giống như thuê để đọc tên cầu thủ trên sân.,2.0
Nhìn thằng bruno ngứa mắt quá,2.0
ông Lewy đá pen màu mè vãi.,2.0
"Slovakia đá hay mà, bỉ thua cũng là điều bt thôi",1.0
Pháp đá vậy mà kêu Arg ăn do dàn xếp :)) chẳng qua do phong độ thôi mấy tk nhóc,0.0
dembeleeeeeeeeeeeeeee,1.0
Fan anh bảy thấy bóng vào lưới mà vui như dã hội Ronaldo mãi đỉnh ,1.0
Nha,0.0
Thấy chưa bruno. ,0.0
Thích nghe hét to thì sáng kênh b88 ấy mà xem,0.0
BLV bình luận như hết hơi,2.0
0-0 là kết quả mình đi từ đầu quá bản lĩnh ,1.0
Ý đá chán thật,2.0
Ủa. Bàn đầu tiên sao không được công nhận vậy mn?,0.0
phải có anh Quân mới cảm xúc thế này được,1.0
Gk của gruzia hay từ trong game tới ngoài đời kk. Thánh gk trong fc mobile đó,1.0
Tbn vô địch,1.0
2light hiệp 1?,0.0
đội trường đội áo trắng chơi phe play thật rất điềm tĩnh,1.0
Đừng bao giờ xem thường người Ý kể cả giây cuối cùng ,1.0
Trận đấu quá cảm xúc! ,1.0
Ai fan 7 tạ sẽ quen dần cảm giác thua cuộc từ wc đến sau này đi,2.0
Trận này bị bán rõ ràng,2.0
Nj,0.0
Một khởi đầu quá xuông sẽ cho đội bóng tôi yêu thíchQuá tuyệt vời TBN ơi,1.0
Ủng hộ đt Hungary!,1.0
BDN đá hay quá nhìn cách đá giống MC gê.nhìu cầu thủ kĩ thuật.mà nói thật có Ronado euro hấp dẫn và đáng xem hơn.mong a7 dc dự WC lần nữa,1.0
Tuyệt vời các chiến binh ukriane,1.0
"Một trận cầu dở , tuyển Pháp nhờ Var chút nữa là toi với Hà Lan.",2.0
Lukaku luôn luôn là một cái gì đó thật sự đặc biệt ở các giải đấu lớn ,1.0
Chúc mừng ukriane,1.0
Bịp thì thôi rồi ,2.0
Euro giờ chỉ xem vòng loại trực tiếp thôi. đá vòng bảng như bán độ vậy.,2.0
Tây Ban Nha ép sức ép lớn thật . Đá Italia không có bóng để chơi luôn,1.0
Blv chán,2.0
Đây là trận hay nhất vòng 1,1.0
Tuyệt,1.0
Bán độ rõ ràng,2.0
Tự dưng hết ngang chả biết kết quả,0.0
Trận đấu nhạt toẹt,2.0
sao nghe giọng ông blv giống độ mixi thế nhờ.,2.0
P/$ : đại thiên thượng,0.0
Bỉ k còn thằng nào để thay thế thằng kuku đen,2.0
Bip quá,0.0
Làm mất cái tỷ số 3_1,0.0
"Xem cả trận đấu không nghe BLV đọc tên Jude Bellingham 1 lần nào, đợi chờ gì mà không thay người nhỉ",2.0
"Tuyển Pháp thì có Dembele chơi dưới trung bình, Hà Lan thì có bố Depay. Hai bố đá còn tệ hơn cả bán độ ấy coi trông buồn cười vãi ",2.0
May hôm qua Tôi xem mỗi trận Pháp ,0.0
Giống như bạn đang buồn ngủ vậy ,0.0
Vắng bruno là biết nhau ngay :)),2.0
Luyến tiếc phút cuốicho Guzia,0.0
Đức mạh thế này mà sao cứ gặp nhật là thua nhỉ,2.0
Hét to là ăn tiền ! Blv thời nay !!!,2.0
fabian ruiz năm nay cháy quá,1.0
Toàn diễn viên hài đá bóng ,0.0
không phải nói chứ giezman nó phế điên,2.0
tuy thấy cờ Việt Nam sau khi Slovakia ghi bàn,0.0
"BĐN quá mạnh, gần như chấp 1 người trên sân. CR7 không đóng góp lối chơi một chút nào cả. Anh nghỉ nên dừng lại được rồi, cố quá thành quá cố. Hãy dừng bóng đá, đừng để bóng đá dừng bạn.",2.0
"Nói thật nha Cr7 giờ đá vật vờ vc, bứt tốc, đánh đầu sức rướn giờ xuống vl cảm giác gánh nặng vãi, Messi già nhưng vẫn còn đó kĩ thuật đá lùi sâu kiến thiết lối chơi, thoát pressing vẫn ổn, còn như ông 7 chịu.",2.0
Có 2 thg Ku + 1 thg Sa thì tiểu bủ nô gánh tđn đc.,2.0
Đúng là siêu kinh tỡm,2.0
TNK da qua man nhan,0.0
Tan biet Croatia 🇭🇷,0.0
"nói thiệt chứ Serbia hàng công bị kém thôi, chứ hàng công hay thì tuyển Anh ăn hành rồi",2.0
Thằng runo đá như đầu buổi làm như sân bóng mỗi nó đá cá nhân tham lam vc,2.0
Lúc combat nó chả bắn rap rồi gào thét ,0.0
Ae nào nhảy cầu vk đẹp đẹp có thể đưa qua xem. Giá trị dựa vào dáng ng vs khuôn mặt,0.0
Đức mà gặp nhật bản xem ,0.0
Bl như b,2.0
Tây Ban Nha trận này thắng xứng đáng đá quá hay lấn lướt hơn hẳn Italy,1.0
R7 giờ đá chán thật. Nên dừng lại đi thôi,2.0
Năm nay đội tuyển đức chắc chắn vo đinh,1.0
TBN là đội bóng mà tôi yêu thích từ năm 2006 ₫ến nay.Chúc mừng TBN lại có một chiến thằng nửa.Nhìn thế hệ trẽ của TBN bây giờ đá từ từ có nét giống bậc đàn anh của thế hệ vàng lúc trước rồi đấy,1.0
Năm nay chắc anh về nhà sớm nói gì ứng cử viên vô địch.,2.0
 trận này lắm thằng bể,0.0
Bóng đá giờ xem cho vui thôi. Đừng nên ham mộ làm gì. Cuộc sống nhiều cái để lo hơn là xem bóng đá,0.0
Pedri đánh đầu mà blv lại hô là cơ hội đầu tiên cho Italia. Bình luận kiểu gì vậy,2.0
Không làm tôi thất vọng yêu xe tăng,1.0
Ai fan anh 7 chạm bình luận của minh 2 lần sẽ có bất ngờ,0.0
"Mong có nhân tố mới đổi gió , chứ kỳ nào cũng toàn mấy anh lớn. ",1.0
Bồ đào nha năm nay vô địch quá hay,1.0
Bán độ rồi,0.0
"Mẹ ông bình luận k biết fix volume à, cứ đang bình thường tới đoạn sút lại gào lên mấy mức volume. Khó chịu vcc. Như ngta hát đến đoạn điệp khúc có gào to lên đâu mà vẫn nhấn mạnh đc đoạn ý",0.0
Tây ban Nha có thể hơn đấy,0.0
Lukaku quá đen . Đen từ trong ra ngoài rồi,2.0
(“”,0.0
Bình luận cứ lung tung đâu tỏ vẻ uyên bác,2.0
Kịch sĩ Rô pha này hơi non ;p,2.0
Đức năm nay vô địch vì var và trọng tài là của Đức,0.0
Lukaku đã đen lại còn lắm lông,2.0
Luka hay đá pen trật mà cứ để chú đá vậy HLV,2.0
"Lakaka tuổi gì với ""CHUBIN""",2.0
Be đang đỉnh cao mà ráng vào chung kết luôn,1.0
"Nếu có giải thường dành cho "" Cầu thủ chuyên biến bàn thắng thành cơ hội "" thì đố ai giành được với anh ấy ",0.0
Trận hòa đầu tiên của Euro ,1.0
Nó cầm hòa để vào mà,0.0
Quả đá má ngoài đó dễ như ăn cơm mà ông blv làm như thế giới k có ai đá đc NV ấy nhỉ,2.0
Ukraina đang ảnh hưởng chiến tranh đá đấm j,2.0
Pháp đá chán thật 2 trận r chưa ghi đc bàn nào,2.0
Blv ngủ quên giật mình bl hả :)))),2.0
"Rumani không biết đá thủ xe buýt ah,đôi công với bỉ làm gì",2.0
Bỉ chẳng lẽ không còn tiền đạo nào sao?,2.0
Hiệp 1 bao nhiêu trái góc nhỉ,0.0
Raya của arsena chụp có khác vậy mà cho ngồi dự bị hoài tiếc.,0.0
Thấy foden đá mắc chán,2.0
Bắc hằng áo nha,0.0
Xem gruzia nè Haaland vs tk odegaard có thấy nhục ko =)),2.0
trận này chỉ đúc kết lại 1 từ : chán,2.0
Bình luận chán thật  ,2.0
Folden trận này bỏ không,2.0
cho 2 blv này bình luận trận Pháp đê,0.0
"Risman về vườn được rồi, kém đ chịu dc",2.0
Thủ môn geo quá hay,1.0
Sao 2 thằng blv cứ gào lên vậy?,2.0
Anh bỉ pháp ý sẽ giúp đưa ae ra khơi ,0.0
sống dở chết dở lại sống dai,0.0
Căng như kẻ chỉ ???,0.0
đá như vậy thì đừng mơ vô địch,2.0
"Ai chửi Foden trận đầu thì xem 2 trậu sau này, ai là người nhiệt tình và sáng nhất cái hàng công nhạt này",1.0
Thổ Nhĩ Kỳ đá hay quá,1.0
"góp ý nhỏ : nên đặt title sao cho người xem k biết kết quả đi , như này xem mất hứng lắm :((",0.0
Làm tui trả nợ 3 năm mới hết ,0.0
cho hỏi là bình luận này có biết phiên âm tiếng việt nước của người ta khong? Georgia mà cứ đọc gruzia là sao ? nhà đài lớn là đây ah ?,2.0
Thắng trận này thì có đk vào k nhỉ,0.0
Quá OK cho cậu kai,1.0
đã bảo là tiêu diệt ucà rồi mà,0.0
"Nói chung cả hai đội chơi hay ngang nhau, nhưng cái gì cũng có hồi kết của nó. Nên cuối cùng sự may mắn cũng sẽ đến với Hung ga ri ",0.0
Vòng loại euro nay xem hay thật,1.0
Ban zui nhắn band dau tien di ong den mo ring cho no’s choc khe,2.0
Ko có magai xem mất hay,2.0
"Ukraine đá vậy là hay rồi,giỏi thì vào mà đá ",0.0
Thủ môn Geo bắt hay,1.0
video chất lượng kém quá ,2.0
Mong a7 trận sau có thêm bàn thắng cho mình,0.0
Sút trái cúi bay tài lun,0.0
Bé bộ đồ trắng cầm bóng (đi cạnh trọng tài) đẹp quá siuuuu,1.0
Vl chuyen toi goog khg sut,0.0
"Vãi thật, không biết kết quả cuối cùng. Từ mai cạch xem các highlight có BLV Quang Huy.",2.0
Mùa này ko có ha ri mắc gai hả mn ơi ,0.0
Carrasco lên tuyển vẫn ko thoát được cái vị trí hậu vệ à =)) ở clb bị ép đá hậu vệ lên tuyển cũng thế luôn,0.0
Lần sau có làm highlight thì làm ơn viết tiêu đề đừng có để kết quả trận đấu đc k chưa xem mà bk ai thắng thì còn j hấp dẫn,0.0
"Hai đội đều chơi cầm chừng, cưởi ngựa xem hoa, đặc biệt là Pháp. Trận đấu tẻ nhạt",2.0
Kkkk,0.0
Mấy trận vào vòng bảng toàn có hiệp phụ với đá pen mọi người ai có cá cược thì nên nhớ đi đến cuối trận,0.0
Argentina đô địch Copa America ,1.0
Trận đấu hay,1.0
"Blv nhà đài chuyên môn chán, ngôn từ gì hẹp z",2.0
A Huy nghe giọng đã thích rồi. Mình thấy a là blv xuất sắc của Viet Nam,1.0
Không có Bruno nhìn Bồ đá tối thật sự,2.0
Guler quá hay,1.0
"Là, độ cjhuio,",0.0
"4 trận chỉ có đúng 1 lần đc nhận bóng trong tình thế thoải mái để ghi bàn anh đã nhường nó để giúp Bruno lấy lại sự tự tin, còn quả pen hỏng hôm qua là cơ hội để anh giải tỏa áp lực nhưng thực sự quả pen đó quá khó khăn, anh là đội trưởng anh buộc phải thực hiện nó. Dẫu biết rằng, nếu như sút vào anh sẽ lại trở thành hào quang sáng chói và nếu hỏng sẽ làm anh suy sụp rất nhiều. Nhưng thực tế việc sút hỏng đã làm BĐN đoàn kết hơn bao giờ hết và sức mạnh của tập thể sẽ giúp BĐN tiến xa hơn",0.0
Morata đá ko hay nhưng tđn mà vẫn có dấu giày trong những bàn thắng quan trọng của trận đấu :v,2.0
ĐT Anh tham gia những giải đấu này cho vui chứ đá có cống hiến dell đâu. Thức đêm xem nó đá chán vl.,2.0
Toàn tài năng trẻ mà hlv chán thật,2.0
Ai cũng mãi khen a7 mà quên mất gã đồ tể mang đôi cánh thiên thần vẫn rất chắc chắn và tinh quái trong hàng phòng ngự  trận tối qua pepe chơi hay thật sự,0.0
"Chiến thắng thuyết phục của Đức. Tinh thần của cổ xe tăng đã trở lại, lối chơi gắn kết. Pha di chuyển và dứt điểm của Musiala là chuẩn mực luôn rồi ",1.0
Giờ mới biết mb3 ghánh pháp,0.0
"Mấy ba má bắt 1,5-2 trái ăn dc ít khoái  chứ để ý mấy đội khác toàn thua đội yếu nào vô 5-10 phút đầu vào trước rồi rượt tỷ số hết",0.0
BLV cũng hay....,1.0
đá bóng,0.0
 bình luận viên đăng cấp ,1.0
Euro 2024: Pháp thắng Áo ngay trận ra quân cũng nhờ 1 tình huống phản lưới nhà.,1.0
"Xem trực tiếp thể thao, phim, giải trí trên TV360",0.0
anh 7 đã vả cho bủ nô và ka chê nô:),2.0
Pha hà lan ghi bàn bị bắt việt vị theo t là đáng để công nhận vì tình huống đó bóng từ đáy biên chuyền lên mà số 22 của Hà Lan đã chủ động né bóng rồi.cũng chả làm ảnh hưởng đến phán đoán của thủ môn nên là bàn thắng đó xứng đáng đc công nhận.tuy biết là 50/50 nhưng t thấy khá bất công cho Hà Lan,0.0
